"ID"	"CLONEID"	"GSE22133_hitBLAT"	"GSE22133_geneSymbol"	"GSE22133_description"
"51118"	"H200015628"	"NM_182664"	"RASSF5"	"RASSF5 : Ras association (RalGDS/AF-6) domain family 5"
"51122"	"H200015586"	"NM_021131"	"PPP2R4"	"PPP2R4 : protein phosphatase 2A, regulatory subunit B'"
"51124"	"H200015610"	"NM_024096"	"XTP3TPA"	"XTP3TPA : hypothetical protein LOC79077"
"51125"	"H200014850"	"NM_013233"	"STK39"	"STK39 : serine threonine kinase 39 (STE20/SPS1 homolog,"
"51133"	"H200015224"	"NM_030895"	"ZNF696"	"ZNF696 : zinc finger protein 696"
"51134"	"H200016008"	"NM_007128"	"VPREB1"	"VPREB1 : immunoglobulin iota chain preproprotein"
"51141"	"H200012968"	"NM_018144"	"SEC61A2"	"SEC61A2 : Sec61 alpha form 2"
"51142"	"H200013752"	"NM_024787"	"RNF122"	"RNF122 : ring finger protein 122"
"51143"	"H200012992"	"NM_001079839"	"OCIAD1"	"OCIAD1 : OCIA domain containing 1 isoform 1"
"51144"	"H200013686"	"NM_005561"	"LAMP1"	"LAMP1 : lysosomal-associated membrane protein 1"
"51149"	"H200012974"	"uc001lya.1"	"NR_002720"	"NR_002720 : H.sapiens mRNA for trpc2 transcript (possible pseudogene)."
"51150"	"H200013758"	"NM_177966"	"2'-PDE"	"2'-PDE : 2'-phosphodiesterase"
"51154"	"H200014084"	"NM_005824"	"LRRC17"	"LRRC17 : leucine rich repeat containing 17 isoform 2"
"51155"	"H200013324"	"NM_001081492"	"KRT80"	"KRT80 : keratin 80 isoform b"
"51158"	"H200014132"	"NM_005822"	"DSCR1L1"	"DSCR1L1 : Down syndrome critical region gene 1-like 1"
"51160"	"H200014066"	"NM_001352"	"DBP"	"DBP : D site of albumin promoter (albumin D-box)"
"51162"	"H200014090"	"NM_024111"	"CHAC1"	"CHAC1 : ChaC, cation transport regulator-like 1"
"51165"	"H200013354"	"NM_003724"	"JRK"	"JRK : jerky isoform a"
"51176"	"H200012184"	"NM_001845"	"COL4A1"	"COL4A1 : alpha 1 type IV collagen preproprotein"
"51177"	"H200011424"	"uc001urn.1"	"POLR1D"	"POLR1D : polymerase (RNA) I polypeptide D isoform 1"
"51178"	"H200012208"	"NM_012110"	"CHIC2"	"CHIC2 : cysteine-rich hydrophobic domain 2"
"51179"	"H200011448"	"NM_003171"	"SUPV3L1"	"SUPV3L1 : suppressor of var1, 3-like 1"
"51185"	"H200011430"	"NM_018229"	"C14orf108"	"C14orf108 : hypothetical protein LOC55745"
"51186"	"H200012214"	"NM_006559"	"KHDRBS1"	"KHDRBS1 : KH domain containing, RNA binding, signal"
"51187"	"H200011454"	"NM_024715"	"C5orf14"	"C5orf14 : disulfide isomerase"
"51193"	"H200011804"	"NM_018835"	"MNAB"	"MNAB : membrane associated DNA binding protein"
"51195"	"H200011828"	"NM_022041"	"GAN"	"GAN : gigaxonin"
"51196"	"H200012612"	"NM_022917"	"NOL6"	"NOL6 : nucleolar protein family 6 alpha isoform"
"51197"	"H200011852"	"NM_014254"	"TMEM5"	"TMEM5 : transmembrane protein 5"
"51200"	"H200012570"	"NM_144695"	"C1orf58"	"C1orf58 : hypothetical protein LOC148362"
"51201"	"H200011810"	"NM_004041"	"ARRB1"	"ARRB1 : arrestin beta 1 isoform A"
"51203"	"H200011834"	"NM_144577"	"FLJ32926"	"FLJ32926 : coiled-coil domain containing 114"
"51204"	"H200012618"	"NM_004869"	"VPS4B"	"VPS4B : vacuolar protein sorting factor 4B"
"51209"	"H200009554"	"NM_052931"	"SLAMF6"	"SLAMF6 : activating NK receptor precursor"
"51215"	"H200009904"	"NM_005768"	"OACT5"	"OACT5 : O-acyltransferase (membrane bound) domain"
"51216"	"H200010688"	"NM_170697"	"ALDH1A2"	"ALDH1A2 : aldehyde dehydrogenase 1A2 isoform 3"
"51217"	"H200009928"	"NM_020946"	"DENND1A"	"DENND1A : DENN/MADD domain containing 1A isoform 1"
"51218"	"H200010712"	"NM_001001483"	"ZDHHC13"	"ZDHHC13 : zinc finger, DHHC domain containing 13 isoform"
"51220"	"H200010646"	"NM_007221"	"PMF1"	"PMF1 : polyamine-modulated factor 1"
"51221"	"H200009886"	"NM_002612"	"PDK4"	"PDK4 : pyruvate dehydrogenase kinase 4"
"51222"	"H200010670"	"NM_138439"	"LOC114984"	"LOC114984 : hypothetical protein LOC114984"
"51223"	"H200009910"	"NM_007375"	"TARDBP"	"TARDBP : TAR DNA binding protein"
"51224"	"H200010694"	"NM_031306"	"DDX59"	"DDX59 : DEAD (Asp-Glu-Ala-Asp) box polypeptide 59"
"51225"	"H200009934"	"NM_080388"	"S100A16"	"S100A16 : S100 calcium binding protein A16"
"51226"	"H200010718"	"NM_015714"	"G0S2"	"G0S2 : G0/G1switch 2"
"51231"	"H200010284"	"NM_004964"	"HDAC1"	"HDAC1 : histone deacetylase 1"
"51232"	"H200011068"	"NM_015698"	"GPKOW"	"GPKOW : G patch domain and KOW motifs"
"51233"	"H200010308"	"NM_012117"	"CBX5"	"CBX5 : chromobox homolog 5 (HP1 alpha homolog,"
"51235"	"H200010332"	"NM_001767"	"CD2"	"CD2 : CD2 antigen (p50), sheep red blood cell"
"51238"	"H200011050"	"NM_005652"	"TERF2"	"TERF2 : telomeric repeat binding factor 2"
"51240"	"H200008812"	"uc002xuq.1"	"AK055386"	"AK055386 : Homo sapiens full length insert cDNA clone ZE05A03."
"51241"	"H200008052"	"NM_007062"	"PWP1"	"PWP1 : periodic tryptophan protein 1"
"51244"	"H200008770"	"NM_018449"	"UBAP2"	"UBAP2 : ubiquitin associated protein 2"
"51253"	"H200008384"	"NM_003705"	"SLC25A12"	"SLC25A12 : solute carrier family 25 (mitochondrial carrier,"
"51256"	"H200021334"	"NM_033666"	"ITGB1"	"ITGB1 : integrin beta 1 isoform 1B precursor"
"51257"	"H200008432"	"NM_001031711"	"ERGIC1"	"ERGIC1 : endoplasmic reticulum-golgi intermediate"
"51259"	"H200008366"	"NM_001048221"	"DBNDD2"	"DBNDD2 : SCF apoptosis response protein 1 isoform a"
"51271"	"H200008788"	"NM_080605"	"B3GALT6"	"B3GALT6 : UDP-Gal:betaGal beta 1,3-galactosyltransferase"
"51272"	"H200009572"	"NM_005482"	"PIGK"	"PIGK : phosphatidylinositol glycan anchor biosynthesis,"
"51274"	"H200007244"	"NM_001120"	"TETRAN"	"TETRAN : tetracycline transporter-like protein"
"51276"	"H200007268"	"NM_012074"	"DPF3"	"DPF3 : D4, zinc and double PHD fingers, family 3"
"51279"	"H200006532"	"NM_001414"	"EIF2B1"	"EIF2B1 : eukaryotic translation initiation factor 2B,"
"51280"	"H200007226"	"uc003vmn.1"	"MGC27345"	"MGC27345 : Homo sapiens cDNA FLJ10522 fis, clone NT2RP2000845."
"51281"	"H200006466"	"NM_000366"	"TPM1"	"TPM1 : tropomyosin 1 alpha chain isoform 5"
"51282"	"H200007250"	"NM_001039468"	"MARK2"	"MARK2 : MAP/microtubule affinity-regulating kinase 2"
"51286"	"H200007298"	"NM_006720"	"ABLIM1"	"ABLIM1 : actin-binding LIM protein 1 isoform s"
"51291"	"H200006864"	"NM_001609"	"ACADSB"	"ACADSB : acyl-Coenzyme A dehydrogenase, short/branched"
"51292"	"H200007648"	"NM_198159"	"MITF"	"MITF : microphthalmia-associated transcription factor"
"51295"	"H200006912"	"NM_012101"	"TRIM29"	"TRIM29 : tripartite motif protein TRIM29"
"51299"	"H200006870"	"NM_000297"	"PKD2"	"PKD2 : polycystin 2"
"51301"	"H200006894"	"NM_006670"	"TPBG"	"TPBG : 5T4 oncofetal trophoblast glycoprotein"
"51308"	"H200005398"	"NM_052937"	"PCMTD1"	"PCMTD1 : protein-L-isoaspartate (D-aspartate)"
"51313"	"H200004964"	"NM_018689"	"KIAA1199"	"KIAA1199 : KIAA1199"
"51315"	"H200004988"	"NM_006063"	"KBTBD10"	"KBTBD10 : kelch repeat and BTB (POZ) domain containing 10"
"51318"	"H200005706"	"NM_100264"	"WAC"	"WAC : WW domain-containing adapter with a coiled-coil"
"51320"	"H200005730"	"NM_017816"	"LYAR"	"LYAR : hypothetical protein FLJ20425"
"51321"	"H200004970"	"NM_002487"	"NDN"	"NDN : necdin"
"51324"	"H200005778"	"NM_022475"	"HHIP"	"HHIP : hedgehog-interacting protein"
"51328"	"H200006104"	"NM_000414"	"HSD17B4"	"HSD17B4 : hydroxysteroid (17-beta) dehydrogenase 4"
"51330"	"H200006128"	"NM_000418"	"IL4R"	"IL4R : interleukin 4 receptor alpha chain isoform a"
"51331"	"H200005368"	"NM_015425"	"POLR1A"	"POLR1A : polymerase (RNA) I polypeptide A, 194kDa"
"51332"	"H200006152"	"NM_004663"	"RAB11A"	"RAB11A : Ras-related protein Rab-11A"
"51335"	"H200005326"	"NM_003798"	"CTNNAL1"	"CTNNAL1 : catenin, alpha-like 1"
"51336"	"H200006110"	"NM_007202"	"AKAP10"	"AKAP10 : A-kinase anchor protein 10 precursor"
"51337"	"H200005350"	"NM_176824"	"BBS7"	"BBS7 : Bardet-Biedl syndrome 7 protein isoform a"
"51338"	"H200006134"	"uc001ofe.1"	"RELA"	"RELA : v-rel reticuloendotheliosis viral oncogene"
"51342"	"H200003830"	"NM_024607"	"PPP1R3B"	"PPP1R3B : protein phosphatase 1, regulatory (inhibitor)"
"51343"	"H200003070"	"NM_005663"	"WHSC2"	"WHSC2 : Wolf-Hirschhorn syndrome candidate 2 protein"
"51344"	"H200003854"	"NM_033089"	"ZCCHC3"	"ZCCHC3 : zinc finger, CCHC domain containing 3"
"51346"	"H200003878"	"NM_012384"	"GMEB2"	"GMEB2 : glucocorticoid modulatory element binding"
"51347"	"H200003118"	"NM_052818"	"CG018"	"CG018 : hypothetical protein LOC90634 isoform 1"
"51351"	"H200003444"	"NM_020375"	"C12orf5"	"C12orf5 : TP53-induced glycolysis and apoptosis regulator"
"51353"	"H200003468"	"NM_020170"	"NCLN"	"NCLN : nicalin"
"51356"	"H200004186"	"NM_145685"	"BRF1"	"BRF1 : transcription initiation factor IIIB isoform 3"
"51358"	"H200004210"	"NM_015448"	"RP11-529I10.4"	"RP11-529I10.4 : DPCD protein"
"51368"	"H200004608"	"NM_014939"	"KIAA1012"	"KIAA1012 : hypothetical protein LOC22878"
"51373"	"H200003806"	"NM_015208"	"ANKRD12"	"ANKRD12 : ankyrin repeat domain 12 isoform 1"
"51374"	"H200004590"	"NM_002439"	"MSH3"	"MSH3 : mutS homolog 3"
"51375"	"H200001568"	"NM_031459"	"SESN2"	"SESN2 : sestrin 2"
"51376"	"H200002352"	"NM_014454"	"SESN1"	"SESN1 : sestrin 1"
"51377"	"H200001592"	"NM_018841"	"GNG12"	"GNG12 : G-protein gamma-12 subunit"
"51378"	"H200002286"	"NM_017966"	"VPS37C"	"VPS37C : vacuolar protein sorting 37C"
"51380"	"H200002310"	"NM_016492"	"RANGNRF"	"RANGNRF : RAN guanine nucleotide release factor"
"51381"	"H200001550"	"NM_014849"	"SV2A"	"SV2A : synaptic vesicle glycoprotein 2"
"51384"	"H200002358"	"NM_001006634"	"ARHGAP17"	"ARHGAP17 : nadrin isoform 1"
"51385"	"H200001598"	"NM_001006600"	"ERBB2IP"	"ERBB2IP : ERBB2 interacting protein isoform 7"
"51388"	"H200002684"	"uc001roq.1"	"BC047417"	"BC047417 : Homo sapiens hypothetical gene supported by BC047417, mRNA (cDNA clone IMAGE:3875012)."
"51389"	"H200001924"	"NM_018482"	"DDEF1"	"DDEF1 : development and differentiation enhancing factor"
"51390"	"H200002708"	"NM_005558"	"LAD1"	"LAD1 : ladinin 1"
"51393"	"H200001972"	"NM_022079"	"HERC4"	"HERC4 : hect domain and RLD 4 isoform a"
"51394"	"H200002666"	"NM_130466"	"UBE3B"	"UBE3B : ubiquitin protein ligase E3B"
"51395"	"H200001906"	"NM_025134"	"CHD9"	"CHD9 : chromodomain helicase DNA binding protein 9"
"51399"	"H200001954"	"NM_024326"	"FBXL15"	"FBXL15 : F-box and leucine-rich repeat protein 15"
"51400"	"H200002738"	"NM_016565"	"CHCHD8"	"CHCHD8 : coiled-coil-helix-coiled-coil-helix domain"
"51401"	"H200001978"	"NM_006328"	"RBM14"	"RBM14 : RNA binding motif protein 14"
"51405"	"H200002304"	"NM_001042371"	"LOC283871"	"LOC283871 : hypothetical protein LOC283871"
"51408"	"H200003112"	"NM_016564"	"CEND1"	"CEND1 : cell cycle exit and neuronal differentiation 1"
"51410"	"H200000784"	"NM_001122"	"ADFP"	"ADFP : adipose differentiation-related protein"
"51411"	"H200000024"	"NM_000206"	"IL2RG"	"IL2RG : interleukin 2 receptor, gamma precursor"
"51412"	"H200000808"	"NM_018364"	"RSBN1"	"RSBN1 : round spermatid basic protein 1"
"51416"	"H200000766"	"NM_000021"	"PSEN1"	"PSEN1 : presenilin 1"
"51417"	"H200000006"	"NM_000140"	"FECH"	"FECH : ferrochelatase isoform b precursor"
"51420"	"H200000814"	"NM_014872"	"ZBTB5"	"ZBTB5 : zinc finger and BTB domain containing 5"
"51421"	"H200000054"	"NM_001037341"	"PDE4B"	"PDE4B : phosphodiesterase 4B, cAMP-specific isoform 1"
"51422"	"H200000838"	"NM_030795"	"STMN4"	"STMN4 : stathmin-like-protein RB3"
"51423"	"H200000078"	"NM_000929"	"PLA2G5"	"PLA2G5 : phospholipase A2, group V precursor"
"51426"	"H200001164"	"NM_004711"	"SYNGR1"	"SYNGR1 : synaptogyrin 1 isoform 1a"
"51427"	"H200000404"	"NM_000891"	"KCNJ2"	"KCNJ2 : potassium inwardly-rectifying channel J2"
"51428"	"H200001188"	"NM_181523"	"PIK3R1"	"PIK3R1 : phosphoinositide-3-kinase, regulatory subunit,"
"51429"	"H200000428"	"NM_004428"	"EFNA1"	"EFNA1 : ephrin A1 isoform a precursor"
"51435"	"H200000410"	"NM_000557"	"GDF5"	"GDF5 : growth differentiation factor 5 preproprotein"
"51437"	"H200000434"	"NM_001838"	"CCR7"	"CCR7 : chemokine (C-C motif) receptor 7 precursor"
"51439"	"H200000458"	"NM_000425"	"L1CAM"	"L1CAM : L1 cell adhesion molecule isoform 1 precursor"
"51442"	"H200001544"	"NM_024735"	"FBXO31"	"FBXO31 : F-box protein 31"
"51476"	"H200008028"	"NM_002532"	"NUP88"	"NUP88 : nucleoporin 88kDa"
"52026"	"H300003557"	"NM_133373"	"PLCD3"	"PLCD3 : phospholipase C delta 3"
"52052"	"H200003331"	"NM_001080412"	"ZBTB38"	"ZBTB38 : zinc finger and BTB domain containing 38"
"52064"	"H300000658"	"NM_147129"	"ALS2CL"	"ALS2CL : ALS2 C-terminal like isoform 1"
"52066"	"H300010324"	"NM_173656"	"ZNF619"	"ZNF619 : zinc finger protein 619"
"52093"	"H300011889"	"NM_015243"	"VPS13B"	"VPS13B : vacuolar protein sorting 13B isoform 3"
"52103"	"H300001426"	"NM_182761"	"LOC340069"	"LOC340069 : hypothetical protein LOC340069"
"52107"	"H300013697"	"NM_017861"	"PIGX"	"PIGX : GPI-mannosyltransferase subunit"
"52109"	"H300010301"	"NM_001008397"	"LOC493869"	"LOC493869 : hypothetical protein LOC493869"
"52116"	"H300004871"	"NM_001017927"	"LOC130355"	"LOC130355 : hypothetical protein LOC130355"
"52130"	"H300007080"	"NM_080748"	"C20orf52"	"C20orf52 : reactive oxygen species modulator 1"
"52148"	"H300001611"	"NM_152624"	"DCP2"	"DCP2 : DCP2 decapping enzyme"
"52155"	"H300009649"	"uc002wfg.1"	"PTPN1L"	"PTPN1L : OTTHUMP00000029984."
"52158"	"H200020449"	"NM_006425"	"SLU7"	"SLU7 : step II splicing factor SLU7"
"52166"	"H200020455"	"uc001pfj.1"	"CR603982"	"CR603982 : Homo sapiens primary neuroblastoma cDNA, clone:Nbla10635."
"52167"	"H200019695"	"NM_032870"	"C6orf111"	"C6orf111 : splicing factor, arginine/serine-rich 130"
"52168"	"H200020479"	"NM_198527"	"HDDC3"	"HDDC3 : HD domain containing 3"
"52170"	"H200020503"	"NM_016577"	"RAB6B"	"RAB6B : RAB6B, member RAS oncogene family"
"52175"	"H200020069"	"uc003azq.1"	"RP4-756G23.1-001"	"RP4-756G23.1-001 : OTTHUMP00000028917."
"52176"	"H200020853"	"NM_058172"	"ANTXR2"	"ANTXR2 : anthrax toxin receptor 2"
"52179"	"H200020117"	"NM_003828"	"MTMR1"	"MTMR1 : myotubularin-related protein 1"
"52181"	"H200020051"	"uc003swa.1"	"GPNMB"	"GPNMB : Hypothetical protein GPNMB (Glycoprotein (Transmembrane) nmb)."
"52184"	"H200020859"	"uc002sme.1"	"AUP1"	"AUP1 : Homo sapiens AUP1 homolog mRNA, complete cds."
"52197"	"H200018169"	"NM_004765"	"BCL7C"	"BCL7C : B-cell CLL/lymphoma 7C"
"52200"	"H200018977"	"NM_017784"	"OSBPL10"	"OSBPL10 : oxysterol-binding protein-like protein 10"
"52202"	"H200018911"	"NM_170719"	"C13orf23"	"C13orf23 : hypothetical protein LOC80209 isoform 2"
"52203"	"H200018151"	"NM_018295"	"TMEM140"	"TMEM140 : hypothetical protein LOC55281"
"52206"	"H200018959"	"NM_032125"	"C1orf160"	"C1orf160 : hypothetical protein LOC84065"
"52209"	"H200018223"	"NM_032229"	"SLITRK6"	"SLITRK6 : slit and trk like 6"
"52214"	"H200019333"	"NM_032370"	"ZNF414"	"ZNF414 : zinc finger protein 414"
"52218"	"H200019291"	"NM_022036"	"GPRC5C"	"GPRC5C : G protein-coupled receptor family C, group 5,"
"52220"	"H200019315"	"uc002ulm.1"	"CR749699"	"CR749699 : Homo sapiens mRNA; cDNA DKFZp762O2215 (from clone DKFZp762O2215)."
"52222"	"H200019339"	"NM_032287"	"LDOC1L"	"LDOC1L : leucine zipper, down-regulated in cancer 1-like"
"52224"	"H200019363"	"NM_018045"	"BSDC1"	"BSDC1 : BSD domain containing 1"
"52231"	"H200016323"	"NM_022470"	"WIG1"	"WIG1 : p53 target zinc finger protein isoform 1"
"52236"	"H200017433"	"NM_001642"	"APLP2"	"APLP2 : amyloid beta (A4) precursor-like protein 2"
"52241"	"H200016631"	"NM_017822"	"C12orf41"	"C12orf41 : hypothetical protein LOC54934"
"52246"	"H200017463"	"NM_015956"	"MRPL4"	"MRPL4 : mitochondrial ribosomal protein L4 isoform a"
"52250"	"H200017789"	"NM_032621"	"BEX2"	"BEX2 : brain expressed X-linked 2"
"52255"	"H200017077"	"uc003qrm.1"	"KIAA1423"	"KIAA1423 : Homo sapiens mRNA for KIAA1423 protein, partial cds."
"52259"	"H200014773"	"NM_007017"	"SOX30"	"SOX30 : SRY (sex determining region Y)-box 30 isoform b"
"52260"	"H200015557"	"NM_003075"	"SMARCC2"	"SMARCC2 : SWI/SNF-related matrix-associated"
"52261"	"H200014797"	"NM_005004"	"NDUFB8"	"NDUFB8 : NADH dehydrogenase (ubiquinone) 1 beta"
"52263"	"H200014731"	"NM_003610"	"RAE1"	"RAE1 : RAE1 (RNA export 1, S.pombe) homolog"
"52264"	"H200015515"	"NM_006151"	"LPO"	"LPO : lactoperoxidase"
"52265"	"H200014755"	"NM_012414"	"RAB3GAP2"	"RAB3GAP2 : rab3 GTPase-activating protein, non-catalytic"
"52266"	"H200015539"	"NM_012113"	"CA14"	"CA14 : carbonic anhydrase XIV precursor"
"52268"	"H200015563"	"NM_178313"	"SPTBN1"	"SPTBN1 : spectrin, beta, non-erythrocytic 1 isoform 2"
"52269"	"H200014803"	"NM_004594"	"SLC9A5"	"SLC9A5 : solute carrier family 9 (sodium/hydrogen"
"52273"	"H200015129"	"NM_006503"	"PSMC4"	"PSMC4 : proteasome 26S ATPase subunit 4 isoform 1"
"52278"	"H200015871"	"NM_033177"	"BAT4"	"BAT4 : HLA-B associated transcript 4"
"52279"	"H200015111"	"NM_005333"	"HCCS"	"HCCS : holocytochrome c synthase (cytochrome c"
"52281"	"H200015135"	"NM_005120"	"MED12"	"MED12 : mediator of RNA polymerase II transcription,"
"52285"	"H200015183"	"NM_005957"	"MTHFR"	"MTHFR : 5,10-methylenetetrahydrofolate reductase"
"52289"	"H200015509"	"NM_001079"	"ZAP70"	"ZAP70 : zeta-chain associated protein kinase 70kDa"
"52291"	"H200015533"	"NM_015895"	"GMNN"	"GMNN : geminin"
"52292"	"H200016317"	"NM_002999"	"SDC4"	"SDC4 : syndecan 4 precursor"
"52294"	"H200013989"	"NM_000303"	"PMM2"	"PMM2 : phosphomannomutase 2"
"52295"	"H200013229"	"NM_024771"	"NAT11"	"NAT11 : N-acetyltransferase 11"
"52297"	"H200013253"	"NM_020335"	"VANGL2"	"VANGL2 : vang-like 2 (van gogh, Drosophila)"
"52298"	"H200014037"	"NM_006782"	"ZFPL1"	"ZFPL1 : zinc finger protein-like 1"
"52300"	"H200013971"	"NM_002599"	"PDE2A"	"PDE2A : phosphodiesterase 2A, cGMP-stimulated"
"52303"	"H200013235"	"NM_153456"	"HS6ST3"	"HS6ST3 : heparan sulfate 6-O-sulfotransferase 3"
"52304"	"H200014019"	"NM_138931"	"BCL6"	"BCL6 : B-cell lymphoma 6 protein"
"52306"	"H200014043"	"NM_003379"	"VIL2"	"VIL2 : villin 2"
"52313"	"H200013633"	"NM_005906"	"MAK"	"MAK : male germ cell-associated kinase"
"52318"	"H200014375"	"NM_153219"	"ZNF524"	"ZNF524 : zinc finger protein 524"
"52320"	"H200014399"	"NM_007193"	"ANXA10"	"ANXA10 : annexin A10"
"52323"	"H200013663"	"uc002uyr.1"	"ALS2"	"ALS2 : Alsin (Amyotrophic lateral sclerosis protein 2)."
"52329"	"H200011383"	"NM_032034"	"SLC4A11"	"SLC4A11 : solute carrier family 4 member 11"
"52332"	"H200012469"	"NM_014229"	"SLC6A11"	"SLC6A11 : solute carrier family 6 (neurotransmitter"
"52333"	"H200011709"	"NM_003472"	"DEK"	"DEK : DEK oncogene"
"52337"	"H200011757"	"NM_001012968"	"LOC139886"	"LOC139886 : hypothetical protein LOC139886"
"52339"	"H200011691"	"NM_138414"	"LOC112869"	"LOC112869 : coiled-coil domain containing 101"
"52343"	"H200011739"	"NM_001014812"	"FAM96A"	"FAM96A : family with sequence similarity 96, member A"
"52350"	"H200012873"	"NM_015075"	"IQSEC2"	"IQSEC2 : IQ motif and Sec7 domain 2"
"52354"	"H200012831"	"NM_003807"	"TNFSF14"	"TNFSF14 : tumor necrosis factor ligand superfamily, member"
"52359"	"H200012119"	"NM_018841"	"GNG12"	"GNG12 : G-protein gamma-12 subunit"
"52370"	"H200010949"	"NM_138796"	"LOC128153"	"LOC128153 : spermatogenesis associated 17"
"52372"	"H200010973"	"uc003ckw.1"	"ULK4"	"ULK4 : Homo sapiens cDNA FLJ20574 fis, clone REC01035."
"52373"	"H200010213"	"NM_178833"	"LOC133308"	"LOC133308 : hypothetical protein LOC133308"
"52374"	"H200010997"	"NM_005902"	"SMAD3"	"SMAD3 : mothers against decapentaplegic homolog 3"
"52375"	"H200010237"	"NM_138446"	"C7orf30"	"C7orf30 : hypothetical protein LOC115416"
"52376"	"H200010931"	"NM_130841"	"ATP6V0A4"	"ATP6V0A4 : ATPase, H+ transporting, lysosomal V0 subunit"
"52379"	"H200010195"	"NM_130470"	"MADD"	"MADD : MAP-kinase activating death domain-containing"
"52380"	"H200010979"	"NM_024700"	"SNIP1"	"SNIP1 : Smad nuclear interacting protein"
"52383"	"H200010243"	"NM_006831"	"HEAB"	"HEAB : ATP/GTP-binding protein"
"52386"	"H200011329"	"NM_018492"	"PBK"	"PBK : T-LAK cell-originated protein kinase"
"52387"	"H200010569"	"NM_000267"	"NF1"	"NF1 : neurofibromin isoform 2"
"52389"	"H200010593"	"NM_003367"	"USF2"	"USF2 : upstream stimulatory factor 2 isoform 1"
"52392"	"H200011311"	"NM_003717"	"NPFF"	"NPFF : neuropeptide FF-amide peptide precursor"
"52393"	"H200010551"	"NM_015407"	"ABHD14A"	"ABHD14A : abhydrolase domain containing 14A"
"52397"	"H200008337"	"NM_003926"	"MBD3"	"MBD3 : methyl-CpG binding domain protein 3"
"52399"	"H200008271"	"NM_001005332"	"MAGED1"	"MAGED1 : melanoma antigen family D, 1 isoform b"
"52405"	"H200008343"	"NM_080552"	"SLC32A1"	"SLC32A1 : solute carrier family 32, member 1"
"52408"	"H200009429"	"NM_020677"	"HSCARG"	"HSCARG : NmrA-like family domain containing 1"
"52417"	"H200008675"	"NM_005628"	"SLC1A5"	"SLC1A5 : solute carrier family 1 (neutral amino acid"
"52427"	"H200009073"	"uc002vkv.1"	"NR_003063"	"NR_003063 : CDNA FLJ13940 fis, clone Y79AA1000833, moderately similar to TUBULIN ALPHA-1 CHAIN."
"52431"	"H200006769"	"NM_005081"	"ZNF142"	"ZNF142 : zinc finger protein 142"
"52433"	"H200006793"	"NM_001030288"	"SPN"	"SPN : sialophorin"
"52435"	"H200006817"	"NM_021977"	"SLC22A3"	"SLC22A3 : solute carrier family 22 member 3"
"52439"	"H200006775"	"NM_198723"	"TCEA2"	"TCEA2 : transcription elongation factor A protein 2"
"52442"	"H200007583"	"NM_138358"	"LOC90580"	"LOC90580 : hypothetical protein LOC90580"
"52443"	"H200006823"	"NM_006895"	"HNMT"	"HNMT : histamine N-methyltransferase isoform 1"
"52446"	"H200007909"	"NM_014638"	"PLCH2"	"PLCH2 : phospholipase C-like 4"
"52447"	"H200007149"	"NM_001033049"	"ADARB1"	"ADARB1 : RNA-specific adenosine deaminase B1 isoform 4"
"52448"	"H200007933"	"NM_177405"	"CECR1"	"CECR1 : cat eye syndrome critical region protein 1"
"52450"	"H200007957"	"uc002btn.1"	"AK057337"	"AK057337 : Homo sapiens cDNA FLJ32775 fis, clone TESTI2002012."
"52451"	"H200007197"	"NM_024675"	"PALB2"	"PALB2 : partner and localizer of BRCA2"
"52453"	"H200007131"	"NM_032634"	"PIGO"	"PIGO : phosphatidylinositol glycan anchor biosynthesis,"
"52455"	"H200007155"	"NM_007100"	"ATP5I"	"ATP5I : ATP synthase, H+ transporting, mitochondrial F0"
"52456"	"H200007939"	"NM_002570"	"PCSK6"	"PCSK6 : paired basic amino acid cleaving system 4"
"52458"	"H200007963"	"NM_203447"	"DOCK8"	"DOCK8 : dedicator of cytokinesis 8"
"52462"	"H200008289"	"NM_001618"	"PARP1"	"PARP1 : poly (ADP-ribose) polymerase family, member 1"
"52470"	"H200006033"	"NM_130440"	"PTPRF"	"PTPRF : protein tyrosine phosphatase, receptor type, F"
"52473"	"H200005297"	"NM_139247"	"ADCY4"	"ADCY4 : adenylate cyclase 4"
"52476"	"H200006015"	"NM_002337"	"LRPAP1"	"LRPAP1 : low density lipoprotein receptor-related protein"
"52480"	"H200006063"	"NM_000856"	"GUCY1A3"	"GUCY1A3 : guanylate cyclase 1, soluble, alpha 3"
"52481"	"H200005303"	"NM_003575"	"ZNF282"	"ZNF282 : zinc finger protein 282"
"52486"	"H200006413"	"NM_006120"	"HLA-DMA"	"HLA-DMA : major histocompatibility complex, class II, DM"
"52487"	"H200005653"	"NM_033280"	"SEC11C"	"SEC11C : SEC11-like 3"
"52488"	"H200006437"	"NM_024666"	"FLJ11506"	"FLJ11506 : hypothetical protein LOC79719"
"52490"	"H200006371"	"NM_004456"	"EZH2"	"EZH2 : enhancer of zeste 2 isoform a"
"52492"	"H200006395"	"NM_005228"	"EGFR"	"EGFR : epidermal growth factor receptor isoform a"
"52494"	"H200006419"	"NM_181597"	"UPP1"	"UPP1 : uridine phosphorylase 1"
"52495"	"H200005659"	"NM_000169"	"GLA"	"GLA : alpha-galactosidase A precursor"
"52498"	"H200004115"	"NM_138737"	"HEPH"	"HEPH : hephaestin isoform a"
"52506"	"H200004489"	"NM_004277"	"SLC25A27"	"SLC25A27 : solute carrier family 25, member 27"
